,YEAR,FOCAL_DEPTH,EQ_PRIMARY,LATITUDE,LONGITUDE
1,-2150,,7.3,31.1,35.5
2,-2000,18,7.1,38.0,58.2
8,-1250,,6.5,32.0,35.5
9,-1050,,6.2,29.6,35.0
15,-479,,7.0,39.7,23.3
17,-426,,7.1,38.9,22.7
18,-400,,7.6,35.5,51.8
19,-373,,7.3,38.25,22.25
21,-330,,7.0,40.0,25.0
25,-250,20,6.7,42.7,77.5
26,-227,100,7.2,36.3,28.3
33,-193,,6.5,35.4,103.9
34,-186,,7.0,33.8,105.6
36,-70,,7.0,36.3,119.0
37,-63,20,6.4,45.2,36.6
38,-60,,6.7,36.0,-10.0
39,-58,,6.6,41.3,19.5
40,-50,,5.5,43.0,41.0
44,-31,,7.0,32.0,35.5
47,-26,,5.5,28.8,104.6
49,10,18,7.1,38.0,58.3
54,27,,6.3,35.9,126.5
58,46,,6.5,33.0,112.5
65,62,,6.9,35.2,25.1
69,89,,6.3,35.9,126.5
71,100,,6.3,35.8,129.2
74,115,,7.5,36.1,36.1
75,120,,7.2,40.77,29.92
76,123,,6.3,35.8,129.2
77,128,,6.5,34.7,105.4
78,138,,6.8,35.8,103.5
79,142,,7.0,36.7,28.0
80,143,,7.0,34.7,105.3
86,180,,7.5,39.4,99.5
87,243,,5.3,45.3,11.0
92,294,,5.5,32.6,116.8
93,294,,5.5,40.3,116.0
94,304,,6.3,35.5,129.1
97,319,,4.5,34.1,105.3
107,346,,6.8,41.4,19.4
113,362,,6.4,31.3,35.6
115,365,,8.0,35.0,23.0
118,368,,6.4,40.5,29.6
123,407,,6.6,41.0,29.0
127,427,12,6.7,40.5,46.5
130,447,,7.3,40.9,28.5
138,478,,7.2,40.8,29.2
141,500,20,6.7,42.7,76.5
142,501,,6.3,39.0,125.3
143,510,,6.3,35.5,129.1
144,512,,7.5,39.4,113.3
149,525,,7.0,36.25,36.1
151,528,,7.1,36.25,36.1
153,543,,6.8,40.3,27.8
155,551,,7.1,38.4,22.3
163,557,,7.0,40.9,27.6
164,558,,7.0,40.9,28.8
174,649,,5.5,36.1,111.5
